store_Id,store_Name,,store_Tel,store_Address,store_PointX,store_PointY,store_Category
1,닭발집,,02-826-0043,서울특별시 동작구 노량진동 308-18,37.50881,126.939931,닭발
2,온정돈까스,,02-3281-3330,서울특별시 관악구 신림동 조원로 60,37.483767,126.909138,돈까스
3,경춘자의 라면 땡기는 날,,02-733-3330,서울특별시 종로구 화동 138-21,37.579428,126.98223,라면
4,송주불냉면,,,경기도 안양시 만안구 안양동 안양로257번길 14,37.395183,126.922725,냉면
5,우리집 팔당닭발,,031-442-6446,경기도 남양주시 와부읍 팔당로 215 KR,37.541799,127.253346,닭발
6,매운대,,02-558-5788,서울특별시 강남구 역삼동 봉은사로4길 40,37.502316,127.026953,갈비찜
7,홍중샤브샤브,,,서울특별시 구로구 구로동 새말로16길,37.504266,126.891145,샤브샤브
8,우정낙지,,02-720-7991,서울특별시 종로구 관철동 삼일대로17길 46 2층,37.569293,126.98493,낙지
9,우찌노 카레,,02-518-0908,서울특별시 강남구 신사동 선릉로161길 15-3,37.52705,127.039118,카레
10,팔당닭발,,1666-0892,서울특별시 강남구 논현2동 학동로45길 3,37.516387,127.037946,닭발
11,신길동 매운 짬뽕,,010-5395-1151,신길동 165-5번지 영등포구 서울특별시 KR,37.51254,126.916726,짬뽕
12,옥천 매운 족발,,02-3672-7168,서울특별시 종로구 창신1동 종로51나길 23,37.573129,127.011546,족발
13,소성공자 샤브샤브,,02-461-9888,서울특별시 광진구 자양동 16-26,37.53988,127.063886,샤브샤브
14,입이 즐거운 그만두,,043-241-6005,충청북도 청주시 상당구 사천동 432-4,36.662984,127.473808,만두
15,영도불짬뽕,,,부산광역시 영도구 동삼1동 322-81,35.078045,129.068228,짬뽕
16,지린성,,063-467-2905,전라북도 군산시 미원동 미원로 87,35.979633,126.713982,짜장
17,선화동 소머리해장국,,042-637-5529,대전광역시 중구 선화동 선화로 128,36.330384,127.42137,김치
18,조가네 갑오징어,,064-746-3338,제주특별자치도 제주시 노형동 942-6,33.484173,126.485319,오징어
19,매떡,,051-633-0166,부산광역시 부산진구 범천동 골드테마길 52-2,35.144057,129.060256,떡볶이
20,창원 금화식당,,055-273-1864,경상남도 창원시 의창구 두대동 145,35.23386,128.664638,짬뽕
21,유가장,,031-884-1412,경기도 여주군 여주읍 창리 157-1,37.293743,127.633914,짬뽕
22,등갈비달인,,031-722-0889,경기도 성남시 중원구 성남동 3431번지,37.432422,127.131635,갈비
